"id_consum","identifier","id_facture","ClientName","Ville","periodeDebut","periodeFin","Conso","PrixUnitaire","Taxes","StatutPaiement","penalite","TypeClient","NumComp","TypeComp","email","NumTel","MontFact","MonTotal"
18,"224959754",C00018,Pamela Williams,Abidjan,"2024-01-31","2024-05-15",61,250,3050.0, Non payé,1000,Domestique,"376806",Compteur normal,sophia19@hotmail.com,"35858152",18300.0,19300.0
19,"904983019",C00019,Mrs. Stephanie Jordan DDS,San Pedro,"2024-06-29","2024-08-12",103,280,5768.0, payé,0,Industriel,"746879",Compteur à 4,sarah81@gray.info,"39356208",34608.0,34608.0
20,"672385938",C00020,Charles Johnson,Bouaké,"2024-05-20","2025-03-25",177,300,10620.0, payé,0,Domestique,"989598",Compteur à 4,brittanywebster@mclaughlin-rose.com,"55158247",63720.0,63720.0
21,"640314214",C00021,Thomas Rogers,Abidjan,"2023-12-10","2025-04-23",24,280,1344.0, Non payé,300,Commercial,"451679",Compteur normal,lbaker@obrien.info,"90734482",8064.0,8364.0
22,"941728180",C00022,Elizabeth Butler,San Pedro,"2024-06-14","2025-02-10",134,250,6700.0, Non payé,500,Domestique,"954214",Compteur à 4,williamstonya@hoover.biz,"40988826",40200.0,40700.0
23,"184216435",C00023,Christian Williams,San Pedro,"2024-08-28","2025-04-29",101,250,5050.0, Non payé,1000,Domestique,"972341",Compteur à 4,zparks@yahoo.com,"40582618",30300.0,31300.0
24,"254100596",C00024,Kathleen Holloway,Yamoussoukro,"2024-04-22","2024-09-23",102,280,5712.0, Non payé,1000,Domestique,"445262",Compteur à 4,floresmariah@yahoo.com,"41253887",34272.0,35272.0
25,"916411567",C00025,Rachel Frank,San Pedro,"2023-06-15","2025-01-06",70,280,3920.0, Non payé,1000,Industriel,"952329",Compteur normal,nryan@montes.com,"86766354",23520.0,24520.0
26,"813649775",C00026,Kayla Wagner,Yamoussoukro,"2023-07-02","2025-02-23",17,250,850.0, Non payé,1000,Domestique,"967186",Compteur normal,margaretalexander@yahoo.com,"79257033",5100.0,6100.0
27,"799895679",C00027,Katrina Lewis,Yamoussoukro,"2023-08-01","2024-11-05",93,300,5580.0, Non payé,1000,Commercial,"699547",Compteur à 4,nhall@gutierrez.com,"74334381",33480.0,34480.0
28,"713700537",C00028,Robert Henderson,Korhogo,"2024-11-04","2025-04-10",43,250,2150.0, Non payé,500,Domestique,"364972",Compteur normal,pjackson@hotmail.com,"99917523",12900.0,13400.0
29,"336833907",C00029,Suzanne Thornton,Abidjan,"2024-09-22","2025-01-18",18,280,1008.0, Non payé,1000,Domestique,"139341",Compteur à 4,gregoryrogers@hale.net,"52704240",6048.0,7048.0
30,"709694369",C00030,Anthony Bartlett,Yamoussoukro,"2023-03-12","2024-07-31",50,300,3000.0, Non payé,300,Commercial,"667417",Compteur à 4,karastephens@yahoo.com,"47300839",18000.0,18300.0
31,"676219650",C00031,Hailey Warner,Yamoussoukro,"2024-01-16","2024-08-13",127,280,7112.0, Non payé,1000,Commercial,"423591",Compteur normal,mossstephanie@carroll.com,"46121031",42672.0,43672.0
32,"404247610",C00032,Alexandra Pierce,Bouaké,"2024-03-06","2024-06-24",24,300,1440.0, payé,0,Domestique,"527900",Compteur à 4,oanderson@williams-garcia.net,"52380145",8640.0,8640.0
33,"984887363",C00033,Blake Rich,Yamoussoukro,"2023-12-15","2024-07-14",142,250,7100.0, Non payé,300,Commercial,"752717",Compteur à 4,justin67@owens-thompson.com,"45966266",42600.0,42900.0
34,"722685774",C00034,Melissa Dennis,Korhogo,"2023-04-11","2024-01-09",100,300,6000.0, payé,0,Domestique,"785504",Compteur à 4,edward22@yahoo.com,"51204943",36000.0,36000.0
35,"617804093",C00035,Jeremy Carroll,Korhogo,"2023-07-13","2024-11-04",115,280,6440.0, Non payé,300,Commercial,"334699",Compteur à 4,marcwhite@perry.com,"82961801",38640.0,38940.0
36,"299790368",C00036,Steven Carroll,Bouaké,"2023-05-25","2024-06-23",178,300,10680.0, Non payé,300,Commercial,"680034",Compteur normal,ashleyjones@yahoo.com,"98307087",64080.0,64380.0
37,"248279859",C00037,Christina Hayes,San Pedro,"2023-06-26","2023-11-19",51,250,2550.0, Non payé,300,Industriel,"633335",Compteur à 4,francisco62@yahoo.com,"56577431",15300.0,15600.0
38,"100093956",C00038,Kevin Hudson,Korhogo,"2024-05-13","2024-07-12",99,280,5544.0, Non payé,1000,Industriel,"161825",Compteur normal,rodriguezjesse@hotmail.com,"22341841",33264.0,34264.0
39,"509131620",C00039,Susan Fisher,Yamoussoukro,"2024-01-10","2024-06-22",64,300,3840.0, Non payé,300,Industriel,"436148",Compteur à 4,kelliott@gmail.com,"74612504",23040.0,23340.0
40,"706334484",C00040,Sharon Lopez,Abidjan,"2023-03-04","2023-10-05",145,300,8700.0, Non payé,500,Industriel,"944340",Compteur normal,snowvalerie@gmail.com,"81885162",52200.0,52700.0
41,"970659753",C00041,Christine Elliott,Korhogo,"2023-10-27","2025-03-29",157,300,9420.0, Non payé,500,Domestique,"236752",Compteur à 4,ugarner@johnson-baker.biz,"70391251",56520.0,57020.0
42,"890744265",C00042,Lindsay Gaines,Bouaké,"2025-01-03","2025-01-25",165,280,9240.0, payé,0,Domestique,"527912",Compteur normal,amy12@sanchez.com,"70917459",55440.0,55440.0
43,"886255974",C00043,Tiffany Flores,Bouaké,"2024-10-18","2024-11-09",81,300,4860.0, Non payé,500,Domestique,"159504",Compteur à 4,kevin15@yahoo.com,"85264686",29160.0,29660.0
44,"357360542",C00044,Mark House,Korhogo,"2023-03-22","2024-06-27",106,250,5300.0, Non payé,1000,Domestique,"559330",Compteur à 4,brittanylyons@martin.net,"50042715",31800.0,32800.0
45,"396375698",C00045,David Rogers,San Pedro,"2023-02-07","2025-05-05",83,300,4980.0, Non payé,300,Commercial,"426485",Compteur à 4,sandrajones@hotmail.com,"20496148",29880.0,30180.0
46,"506434645",C00046,Janet Webb,San Pedro,"2023-10-13","2024-09-29",17,280,952.0, Non payé,500,Commercial,"700098",Compteur normal,millerpriscilla@gmail.com,"31566373",5712.0,6212.0
47,"709090680",C00047,Alexandra Wilson,Abidjan,"2023-11-05","2024-07-16",157,280,8792.0, payé,0,Industriel,"155690",Compteur normal,elizabethbrown@white-griffin.com,"27420569",52752.0,52752.0
48,"391485687",C00048,Carol Knight,San Pedro,"2023-11-24","2024-08-03",183,280,10248.0, payé,0,Domestique,"112944",Compteur normal,wsmith@hotmail.com,"72034246",61488.0,61488.0
49,"430677652",C00049,Anthony Rogers,Korhogo,"2025-01-10","2025-04-01",124,280,6944.0, Non payé,1000,Domestique,"663099",Compteur normal,morrowrobert@walker.com,"85816961",41664.0,42664.0
50,"265893715",C00050,Tracy Peterson,Yamoussoukro,"2024-05-07","2024-12-19",98,250,4900.0, Non payé,300,Commercial,"891399",Compteur normal,michelle47@gmail.com,"65824041",29400.0,29700.0
51,"152258378",C00051,Steven Vasquez,San Pedro,"2023-12-15","2024-05-20",19,250,950.0, payé,0,Commercial,"344567",Compteur à 4,ostevens@lewis.com,"54691772",5700.0,5700.0
52,"394243637",C00052,Stacey Sosa,Bouaké,"2023-04-10","2024-05-04",97,280,5432.0, payé,0,Commercial,"966311",Compteur normal,glane@patton-martinez.net,"28465475",32592.0,32592.0
53,"583523752",C00053,Julie Savage,Bouaké,"2024-12-20","2025-04-16",170,250,8500.0, Non payé,1000,Commercial,"935685",Compteur normal,susanavery@yahoo.com,"77729492",51000.0,52000.0
54,"483575267",C00054,Melissa Mendez,Abidjan,"2024-06-02","2025-04-25",199,280,11144.0, Non payé,1000,Commercial,"132974",Compteur à 4,bennettparker@rodriguez.info,"61893082",66864.0,67864.0
55,"688234080",C00055,Catherine Adkins,Bouaké,"2023-08-07","2025-02-01",15,250,750.0, Non payé,500,Domestique,"332147",Compteur normal,daughertyamber@lane.org,"96768061",4500.0,5000.0
56,"310387856",C00056,Jamie Neal,Bouaké,"2023-06-06","2024-12-22",40,280,2240.0, Non payé,500,Industriel,"760292",Compteur à 4,ngregory@ashley.info,"26021296",13440.0,13940.0
57,"300217285",C00057,Natasha Murray,Abidjan,"2024-02-19","2024-07-19",107,280,5992.0, payé,0,Domestique,"212984",Compteur normal,ronald25@coffey.info,"48870654",35952.0,35952.0
58,"810403990",C00058,Samuel Anderson,Yamoussoukro,"2023-03-21","2023-04-09",177,300,10620.0, payé,0,Commercial,"329636",Compteur à 4,jason20@davis.org,"74625782",63720.0,63720.0
59,"486075510",C00059,David Rodriguez,Yamoussoukro,"2024-06-10","2024-09-20",65,300,3900.0, payé,0,Commercial,"279412",Compteur à 4,tmcmahon@hotmail.com,"36371034",23400.0,23400.0
60,"836767283",C00060,Daniel Davis,Yamoussoukro,"2024-06-13","2024-12-26",187,300,11220.0, Non payé,300,Industriel,"458203",Compteur à 4,mark41@yahoo.com,"35921436",67320.0,67620.0
61,"753984410",C00061,Dr. Beth Webb,Bouaké,"2023-11-20","2023-11-23",8,280,448.0, Non payé,1000,Industriel,"254238",Compteur à 4,lindabrooks@lopez.com,"44679035",2688.0,3688.0
62,"793135767",C00062,Madison Moore,Korhogo,"2023-08-18","2025-02-17",115,250,5750.0, Non payé,1000,Domestique,"612023",Compteur normal,chenjames@hotmail.com,"95434559",34500.0,35500.0
63,"386278127",C00063,Robert Williamson,Korhogo,"2024-06-20","2024-12-01",80,300,4800.0, Non payé,1000,Domestique,"286554",Compteur normal,robinsontheresa@gmail.com,"99975538",28800.0,29800.0
64,"249237557",C00064,Linda Leblanc,Bouaké,"2023-10-23","2024-05-09",169,250,8450.0, Non payé,1000,Domestique,"714611",Compteur normal,nsimpson@yahoo.com,"50063254",50700.0,51700.0
65,"432035838",C00065,Christina Jackson,San Pedro,"2024-04-08","2025-02-23",126,280,7056.0, payé,0,Commercial,"895483",Compteur normal,joshua99@arias.org,"74632330",42336.0,42336.0
66,"639845219",C00066,Richard Phillips,Yamoussoukro,"2024-05-14","2024-08-09",93,300,5580.0, Non payé,300,Domestique,"719340",Compteur normal,paulcohen@medina-herman.com,"89520571",33480.0,33780.0
67,"399834151",C00067,Gabrielle Wolfe,Abidjan,"2024-05-04","2024-10-27",173,300,10380.0, payé,0,Commercial,"760515",Compteur à 4,eric69@briggs-cantu.com,"99047904",62280.0,62280.0
68,"341726222",C00068,James Flores,San Pedro,"2024-09-16","2024-12-01",88,300,5280.0, payé,0,Industriel,"525371",Compteur normal,wandamarshall@hotmail.com,"86100257",31680.0,31680.0
69,"150662458",C00069,Brian James,San Pedro,"2023-07-06","2024-04-28",9,250,450.0, Non payé,500,Domestique,"495857",Compteur à 4,timothymoore@hotmail.com,"85434146",2700.0,3200.0
70,"912713236",C00070,Christine Reilly,Korhogo,"2024-11-24","2025-04-01",70,280,3920.0, Non payé,1000,Industriel,"381845",Compteur à 4,hickmankaitlyn@yahoo.com,"27505202",23520.0,24520.0
71,"918637371",C00071,Bethany Hopkins,Bouaké,"2023-09-03","2024-05-01",157,280,8792.0, Non payé,300,Commercial,"956399",Compteur normal,jdaugherty@yahoo.com,"51032526",52752.0,53052.0
72,"163604464",C00072,Amber Andrews,Bouaké,"2023-04-17","2024-06-27",93,250,4650.0, payé,0,Domestique,"496093",Compteur normal,glane@lambert-willis.com,"63475081",27900.0,27900.0
73,"691087135",C00073,Robert Terrell,Yamoussoukro,"2024-10-18","2025-03-20",103,300,6180.0, Non payé,500,Industriel,"552500",Compteur normal,diazwalter@hotmail.com,"31527627",37080.0,37580.0
74,"340389206",C00074,Michael Smith,San Pedro,"2023-10-02","2024-12-12",146,250,7300.0, Non payé,1000,Commercial,"816776",Compteur à 4,susan28@yahoo.com,"99771776",43800.0,44800.0
75,"838471198",C00075,Shelly Hurley,Bouaké,"2024-02-13","2025-05-02",188,280,10528.0, Non payé,500,Commercial,"874573",Compteur à 4,laneevan@bartlett-marks.net,"58572437",63168.0,63668.0
76,"133108899",C00076,Mrs. Amy Garcia,Yamoussoukro,"2023-04-24","2025-01-21",92,300,5520.0, Non payé,300,Domestique,"935842",Compteur normal,taylornathaniel@yahoo.com,"78501340",33120.0,33420.0
77,"352967098",C00077,Shelly Flynn,Korhogo,"2024-04-07","2024-08-23",9,280,504.0, Non payé,300,Domestique,"949188",Compteur normal,angelaatkins@anderson.com,"33327322",3024.0,3324.0
78,"517424409",C00078,Michael Smith,Yamoussoukro,"2023-08-02","2023-08-02",127,300,7620.0, payé,0,Commercial,"805706",Compteur à 4,lindsey58@hotmail.com,"48025205",45720.0,45720.0
79,"739013608",C00079,Angela Beck,Yamoussoukro,"2023-09-23","2025-02-02",135,280,7560.0, Non payé,500,Commercial,"101941",Compteur normal,reyeschristopher@hotmail.com,"85375869",45360.0,45860.0
80,"681266669",C00080,Barbara Mckee,Abidjan,"2024-06-08","2024-08-31",60,300,3600.0, Non payé,1000,Commercial,"251451",Compteur normal,rebecca16@gmail.com,"50136345",21600.0,22600.0
81,"319026656",C00081,Emily Velasquez,Korhogo,"2024-10-20","2025-01-15",147,300,8820.0, Non payé,500,Domestique,"181553",Compteur à 4,calhouncristian@garcia-edwards.org,"23393930",52920.0,53420.0
82,"358593776",C00082,Danielle Hansen,San Pedro,"2025-01-14","2025-03-21",125,250,6250.0, Non payé,500,Domestique,"225457",Compteur à 4,hollyknapp@hotmail.com,"51062867",37500.0,38000.0
83,"632462120",C00083,Elizabeth Moreno,Bouaké,"2024-04-16","2025-02-23",49,280,2744.0, Non payé,300,Commercial,"747160",Compteur normal,nclark@hotmail.com,"68290847",16464.0,16764.0
84,"220445513",C00084,John Pitts,Abidjan,"2024-04-07","2024-10-18",168,250,8400.0, Non payé,1000,Industriel,"875725",Compteur à 4,donovanmichael@yahoo.com,"86399955",50400.0,51400.0
85,"691433417",C00085,Jeffrey Burns,Abidjan,"2023-02-04","2024-08-16",38,300,2280.0, Non payé,300,Industriel,"515083",Compteur à 4,dthornton@hotmail.com,"23994735",13680.0,13980.0
86,"228531561",C00086,Xavier Henry,Yamoussoukro,"2024-07-18","2025-02-28",152,280,8512.0, Non payé,300,Commercial,"286883",Compteur normal,raymondbrown@chase.com,"57852196",51072.0,51372.0
87,"285927760",C00087,Jessica Frank,San Pedro,"2023-05-27","2024-05-19",177,300,10620.0, Non payé,300,Domestique,"783775",Compteur normal,ngonzalez@gmail.com,"33111630",63720.0,64020.0
88,"410168804",C00088,Kimberly Green,Yamoussoukro,"2024-05-27","2025-04-05",135,300,8100.0, Non payé,300,Domestique,"982097",Compteur normal,bowersbrandon@perez-walker.net,"27598837",48600.0,48900.0
89,"537876570",C00089,Stephanie Adams,San Pedro,"2024-01-16","2024-03-06",81,250,4050.0, Non payé,500,Industriel,"677676",Compteur à 4,perkinsjeffrey@hotmail.com,"55505013",24300.0,24800.0
90,"363344831",C00090,Jeffrey Weber Jr.,San Pedro,"2024-08-22","2024-12-16",111,250,5550.0, payé,0,Domestique,"141183",Compteur à 4,aaronperez@clark.net,"92513364",33300.0,33300.0
91,"667403014",C00091,Kenneth Dixon,Korhogo,"2024-12-11","2024-12-26",19,300,1140.0, payé,0,Commercial,"624179",Compteur normal,normanamanda@yahoo.com,"91810871",6840.0,6840.0
92,"892297973",C00092,Matthew Glenn,Korhogo,"2024-01-13","2024-09-16",119,280,6664.0, payé,0,Domestique,"192289",Compteur normal,carol99@sherman.com,"47247560",39984.0,39984.0
93,"849964658",C00093,Craig Sweeney,Bouaké,"2024-09-21","2024-09-23",8,250,400.0, Non payé,1000,Domestique,"687002",Compteur normal,joseph01@king-rose.org,"99608325",2400.0,3400.0
94,"519796632",C00094,Mary Parsons,Korhogo,"2023-12-09","2024-10-01",58,250,2900.0, payé,0,Industriel,"678875",Compteur normal,james60@hansen.com,"72066865",17400.0,17400.0
95,"162382769",C00095,Sharon Ruiz,Abidjan,"2023-08-18","2024-04-19",57,300,3420.0, Non payé,1000,Industriel,"836859",Compteur à 4,allisonmiddleton@joseph.com,"66109261",20520.0,21520.0
96,"191105456",C00096,Maria Peterson,San Pedro,"2024-07-29","2024-09-21",89,280,4984.0, payé,0,Industriel,"122964",Compteur normal,devinweaver@gmail.com,"95381891",29904.0,29904.0
97,"578717339",C00097,Michelle Chang,San Pedro,"2024-11-12","2024-11-26",73,300,4380.0, payé,0,Commercial,"122432",Compteur à 4,walterssarah@hotmail.com,"53475902",26280.0,26280.0
98,"747230773",C00098,Sarah Herrera,Bouaké,"2024-02-24","2024-04-19",125,300,7500.0, Non payé,1000,Domestique,"501154",Compteur à 4,calebwalter@yahoo.com,"80859700",45000.0,46000.0
99,"462784105",C00099,Robert Aguilar,San Pedro,"2023-12-21","2024-05-11",65,280,3640.0, Non payé,1000,Domestique,"853364",Compteur à 4,tracymoody@white.biz,"48360739",21840.0,22840.0
100,"374905175",C00100,Karen Cannon,San Pedro,"2023-08-04","2025-01-14",154,250,7700.0, payé,0,Industriel,"750638",Compteur normal,ravendouglas@yahoo.com,"56871784",46200.0,46200.0
101,"958673443",C00101,Dennis Rivers,Bouaké,"2024-12-19","2025-01-07",18,250,900.0, Non payé,500,Industriel,"772355",Compteur à 4,brucepeggy@walton.biz,"66808806",5400.0,5900.0
102,"191403382",C00102,Lindsay Ortiz,San Pedro,"2023-02-16","2024-03-07",183,280,10248.0, Non payé,300,Domestique,"189795",Compteur à 4,lmcmillan@gmail.com,"54017210",61488.0,61788.0
103,"676046136",C00103,Daniel Chase,Bouaké,"2023-03-04","2024-03-18",17,250,850.0, payé,0,Commercial,"672020",Compteur normal,dianafox@hotmail.com,"38113358",5100.0,5100.0
104,"288642242",C00104,Carl Joseph,Yamoussoukro,"2024-12-11","2025-04-28",189,250,9450.0, payé,0,Commercial,"941632",Compteur à 4,villegaschristopher@french.com,"85196259",56700.0,56700.0
105,"362433492",C00105,Ronnie James,Korhogo,"2023-12-20","2024-03-12",50,250,2500.0, payé,0,Domestique,"587659",Compteur normal,gregoryparks@gmail.com,"24885293",15000.0,15000.0
106,"542119176",C00106,Richard Roberts,Korhogo,"2023-05-06","2024-06-27",73,300,4380.0, Non payé,300,Domestique,"837271",Compteur à 4,travis55@gmail.com,"52944575",26280.0,26580.0
107,"975670474",C00107,Tony White,Yamoussoukro,"2024-09-07","2025-01-08",46,300,2760.0, Non payé,300,Commercial,"415785",Compteur normal,kellernatalie@sims.net,"84579742",16560.0,16860.0
108,"548211370",C00108,Gloria Dixon,Bouaké,"2024-10-19","2024-12-04",51,300,3060.0, Non payé,1000,Commercial,"742597",Compteur normal,matthewharris@gmail.com,"22773883",18360.0,19360.0
109,"128794514",C00109,Angela Moran,Korhogo,"2024-11-02","2025-02-08",65,280,3640.0, Non payé,1000,Industriel,"571853",Compteur à 4,dmanning@gmail.com,"47941710",21840.0,22840.0
110,"517136108",C00110,Jennifer Vaughan,San Pedro,"2024-04-29","2025-01-14",9,300,540.0, Non payé,500,Domestique,"904487",Compteur à 4,alangonzalez@yahoo.com,"31443054",3240.0,3740.0
111,"701213312",C00111,Rebecca Kim,Bouaké,"2024-05-20","2024-12-23",77,250,3850.0, Non payé,500,Commercial,"853985",Compteur à 4,christine32@hotmail.com,"38124379",23100.0,23600.0
112,"869180845",C00112,David Johnson,Yamoussoukro,"2023-08-27","2025-01-11",85,250,4250.0, Non payé,500,Industriel,"423571",Compteur normal,tammybradford@kennedy-newman.info,"64274086",25500.0,26000.0
113,"872617815",C00113,Monique Rivera,Bouaké,"2024-11-21","2025-03-16",146,300,8760.0, payé,0,Domestique,"507629",Compteur à 4,russellchad@wood.com,"54287872",52560.0,52560.0
114,"272624117",C00114,Stephanie Miller,San Pedro,"2024-06-02","2024-08-17",199,300,11940.0, payé,0,Domestique,"664206",Compteur à 4,jonesdawn@hotmail.com,"90318675",71640.0,71640.0
115,"616603770",C00115,Erika Sullivan,San Pedro,"2023-06-15","2025-04-16",160,300,9600.0, payé,0,Industriel,"308964",Compteur à 4,kevinlane@gmail.com,"30323446",57600.0,57600.0
116,"518961335",C00116,Melissa Johnson,Korhogo,"2023-12-16","2024-03-03",183,250,9150.0, Non payé,500,Industriel,"196196",Compteur à 4,tapiarussell@liu-ramirez.com,"93499539",54900.0,55400.0
117,"410670555",C00117,Jamie Wolf,San Pedro,"2023-04-27","2024-03-14",35,280,1960.0, payé,0,Industriel,"193620",Compteur normal,nshaw@hotmail.com,"97840846",11760.0,11760.0
118,"217305694",C00118,April Williams,Abidjan,"2023-03-01","2023-10-20",116,300,6960.0, payé,0,Commercial,"505116",Compteur normal,richardsonjessica@davis.com,"74814429",41760.0,41760.0
119,"529067348",C00119,Paul Roy,Korhogo,"2023-10-10","2025-04-10",173,250,8650.0, payé,0,Commercial,"857292",Compteur normal,stevensonadrian@jones-moore.com,"26415683",51900.0,51900.0
120,"102505702",C00120,John Martinez,Korhogo,"2023-06-02","2023-11-15",77,250,3850.0, Non payé,500,Domestique,"540244",Compteur normal,ysmith@hotmail.com,"58301564",23100.0,23600.0
121,"340875177",C00121,Steven Lowery,Bouaké,"2023-09-02","2023-10-28",198,250,9900.0, Non payé,1000,Commercial,"590629",Compteur à 4,trevorwong@camacho.biz,"59675937",59400.0,60400.0
122,"609892727",C00122,Jeffrey Olson,Korhogo,"2025-01-21","2025-02-14",5,280,280.0, Non payé,300,Domestique,"625908",Compteur à 4,hlee@gmail.com,"67484503",1680.0,1980.0
123,"805396875",C00123,Jose Contreras,San Pedro,"2023-02-24","2024-04-05",63,280,3528.0, Non payé,1000,Industriel,"811050",Compteur normal,nschneider@gmail.com,"25730881",21168.0,22168.0
124,"109672930",C00124,James Stevens,Yamoussoukro,"2023-07-29","2024-02-08",171,250,8550.0, payé,0,Domestique,"251728",Compteur à 4,hellison@thompson.com,"34819105",51300.0,51300.0
125,"982277228",C00125,Ashley Pugh,Yamoussoukro,"2023-05-31","2024-10-20",39,300,2340.0, Non payé,500,Industriel,"745967",Compteur normal,daviestanya@beasley.biz,"29286581",14040.0,14540.0
126,"571223091",C00126,Teresa Gordon,Abidjan,"2023-09-28","2025-04-22",146,300,8760.0, payé,0,Domestique,"581386",Compteur normal,dhernandez@villarreal.net,"44169984",52560.0,52560.0
127,"419864861",C00127,Angela Fritz,San Pedro,"2024-06-08","2025-03-26",99,250,4950.0, Non payé,1000,Domestique,"494250",Compteur normal,mark85@hotmail.com,"31906677",29700.0,30700.0
128,"184897542",C00128,Dennis Brown,Abidjan,"2024-04-17","2025-01-27",176,250,8800.0, Non payé,300,Industriel,"106899",Compteur à 4,mlane@frye.com,"51817926",52800.0,53100.0
129,"864339226",C00129,Tina Vang,Korhogo,"2023-09-22","2024-08-02",144,300,8640.0, Non payé,500,Domestique,"128704",Compteur normal,ishaw@carey.org,"95135165",51840.0,52340.0
130,"344977727",C00130,Roberto Price,Korhogo,"2023-10-15","2024-02-15",175,250,8750.0, Non payé,300,Industriel,"191955",Compteur normal,zrandall@gmail.com,"78191315",52500.0,52800.0
131,"226437709",C00131,Marcus Ramsey,San Pedro,"2024-03-13","2024-07-05",167,300,10020.0, Non payé,500,Industriel,"192825",Compteur à 4,matthewthornton@hotmail.com,"60112028",60120.0,60620.0
132,"743956963",C00132,Paul Harrison,Bouaké,"2024-02-08","2024-08-23",178,280,9968.0, Non payé,1000,Commercial,"919199",Compteur à 4,lhill@pierce.com,"20235671",59808.0,60808.0
133,"914672226",C00133,Maria Hebert,Korhogo,"2024-02-09","2024-02-22",122,280,6832.0, Non payé,500,Industriel,"624487",Compteur à 4,martinmichael@hotmail.com,"31877042",40992.0,41492.0
134,"756223792",C00134,Jeff Sanders,Korhogo,"2024-10-28","2024-10-31",178,300,10680.0, Non payé,500,Domestique,"750806",Compteur à 4,thomas83@rosales-perry.com,"41514316",64080.0,64580.0
135,"821834121",C00135,Jacob Lee,San Pedro,"2023-08-02","2023-11-24",101,280,5656.0, Non payé,500,Domestique,"511251",Compteur à 4,valdezmelissa@yahoo.com,"21907057",33936.0,34436.0
136,"409866845",C00136,Sherry Phelps,San Pedro,"2023-04-03","2024-08-01",161,250,8050.0, Non payé,500,Commercial,"612950",Compteur normal,carlosrichards@baker.com,"61223064",48300.0,48800.0
